date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
03/10/2009;55.0;82.0;0.0;0.0;0.0;2.91;240;16.11;230;19.91;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
10/10/2009;59.0;79.0;0.02;0.0;0.0;7.83;220;17.0;220;21.92;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No
14/10/2009;46.9;61.0;0.14;0.0;0.0;8.72;40;14.99;50;21.03;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No
17/10/2009;45.0;57.9;0.0;0.0;0.0;6.26;30;14.09;40;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
29/10/2009;48.0;68.0;0.0;0.0;0.0;5.82;80;14.99;70;17.9;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
03/11/2009;37.9;71.1;0.0;0.0;0.0;2.01;20;8.05;290;14.09;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
10/11/2009;55.9;63.0;0.88;0.0;0.0;4.7;30;16.11;30;23.04;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No
16/11/2009;42.1;73.9;0.0;0.0;0.0;0.89;80;8.05;100;12.08;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
17/11/2009;46.9;63.0;0.0;0.0;0.0;5.82;50;14.09;50;17.0;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18/11/2009;52.0;62.1;0.45;0.0;0.0;8.28;40;16.11;50;21.03;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No
19/11/2009;57.9;73.0;0.01;0.0;0.0;5.14;250;10.07;250;14.99;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No
22/11/2009;37.0;57.0;0.19;0.0;0.0;5.82;70;17.0;70;23.04;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No
27/11/2009;36.0;54.0;0.0;0.0;0.0;7.38;250;21.03;270;31.09;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
01/12/2009;30.0;55.9;0.0;0.0;0.0;2.01;240;8.05;230;12.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
08/12/2009;33.1;46.0;0.45;0.0;0.0;6.49;80;16.11;80;21.92;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No
